trusted,category
por favor voltem com a opcao cobrar de antesera muito melhor do que essa de dividir valor,Sugestão de funcionalidade
baixei o appmas ainda nao me mandaram o codigo de verificacao no meu email nem o app abre,Problema com código no e-mail
mais almenos so q queria cartao de credito,Outro
e otimo mais no entanto nao estou conseguindo almentar o limite,Limite de crédito
fiz um deposito e o saldo nao aparece,Depósito demora
o nubank em si e fantastico no comeco fiquei com pe atras de confiar em algo que nao seja banco convencional mas depois que adquiri o cartao vejo que sim e confiavel o que mais gostei nele e da praticidade que ele fornece e e bom ver o dinheiro rendendo la na conta kkk mas ainda nao me deram credito credito foi o grande motivo por eu ter aberto conta no nubank espero que a nubank libere logo a funcao credito para mim,Difícil conseguir crédito
fraco como banco funcoes desconexas com usabilidade atendimento pessimo suporte,Comentário detrator sem informação
porque no meu aplicativo nao tem a funcao trocar para debito ja desisstalei o aplicativo varias vezes instalei de novo e nada me ajude por favor,Sugestão de funcionalidade
um grande poblema o cartao de credito demora a ser liberado augo que e inconveniente melhorem isto,Difícil conseguir crédito
ja tenho conta e nao aparece a opcao login,Sugestão de funcionalidade
meu app nao ta abrindo por favor verifuquem isso,Problema de acesso
ruim,Comentário detrator sem informação
bom,Elogio
nao indico a ninguem fiz um pagamento de um boleto como deposito para minha propria conta e nunca foi dado entrada mandei mensagem para o setor de desenvolvimento e nunca me responderam agora vivem mandando email para eu tirar foto dos meus documentos e o app nao deixa a camera do celular focalizar indico o picpay ou pagbank ambos tem otimos servicos perdi foi meu dinheiro aqui,Bloqueio de conta
tem dias que nao abre hoje por exemplo nao esta abrindo,Problema de acesso
nao consigo adicionar o cartao na play,Outro
meu app nao aparece pedir cartao de debito,Sugestão de funcionalidade
comecou tudo bem ha poucos dias agora nao consigo movimentar meu saldo nem pagamento nem transferencia porque aparece uma mensagem de erro dizendo para eu atualizar o meu historico de conta e que ha um erro de conexao todavia eu consigo falar com o nubank via chatcurioso nao se continuar assim encerro a conta e me mando pra outro banco sera que isto esta ocorrendo porque o nubank retem nosso saldo para utilizar em algum interesse por enquanto nao recomendo a nubank,Aplicativo não funcional
nao consigo rastrear meu cartao,Sugestão de funcionalidade
demora muito para o dinheiro cair na conta,Depósito demora
uma decepcao esse app fiz um boleto de deposito ele comeram e colocaram como pagamento de fatura,Outro
i dont receive any code im waiting but until now nothing please help me,Outro
horrivel chat nao funciona nao consigo gerar boleto muito ruim,Comentário detrator sem informação
nao consigo instalar mais o app ja faz mais quer uma hora que tento e nada,Aplicativo não funcional
app muito bom e o cartao tambem porem o design do app ficou ruim nessa ultima versao o swipe lateral era muito mais facil de mexer e visualizar as informacoes agora colocando scroll vertical ficou pessimo,Elogio
deveria ter opcao de ver se os boletos emitidos para vermos quais foram compensados e quais ainda estao pendentes,Sugestão de funcionalidade
falta so liberar o credito,Difícil conseguir crédito
horrivel 6 meses usando corretamente nunca aumenta o limite,Limite de crédito
nao estou conseguindo atualizar o app,Outro
lixo,Comentário detrator sem informação
ruim,Comentário detrator sem informação
ta ruim,Comentário detrator sem informação
nao chega o email de confirmacao para o meu celular,Problema com código no e-mail
na busca incessante de lucros terceirizam tudo ate a entrega do cartao de credito por exemplo o motoboy entrega o meu cartaona porta de minha casa a uma pessoa que nao e moradora do local e ta tudo bem perdeu minha contameu cartao de credito e principalmente meu respeito e confianca,Outro
desisto estou a um ano sem receber meu cartao estou desistalando e apagado minha assinatura pessimo,Cartão não chegou
foi so questao de entrar no mercado mesmo agora estao com juros abusivos me mandaram mensagem mas nao cumpriram com o que me disseram cancelado com sucesso,Comentário detrator sem informação
nunca chegou meu cartao de credito so de debito,Cartão não chegou
nao aparece a funcao debito no meu app gostaria de saber se preciso fazer algum procedimento para q essa funcao apareca,Sugestão de funcionalidade
eu criei uma conta em janeiro e deixei ela parada agora eu estou tentado entrar e eles dizem que vao enviar um codigo mas nao chega e toda vez que eu tento contatar o email de suporte eles so me dao respostas rapidas que nao me ajudam a ter acesso a minha conta,Problema com código no e-mail
pessimo lento horrivel nao consigo acessar horrivel,Comentário detrator sem informação
nao consigo acessa minha conta,Problema de acesso
lixo,Comentário detrator sem informação
bom,Elogio
o app do nubank era tao bom agora depois da ultima atualizacao esta horrivel nao carrega,Aplicativo não funcional
depois da ultima atualizacao o aplicativo nao abre mais,Aplicativo não funcional
nao estou conseguindo baixar o aplicativo,Outro
n muito bom,Elogio
nao deram nem 50 reais de credito nunca atrasei nenhuma conta meu nome mais limpo impossivel e eu sei q eles tem acesso a td historico de compras visto q eles tem todos os meus doc como nos do interior que moramos a 30 km de um caixa 24h vamos usar debito alem da viagem para fazer um saque quando precisamos e cobrado 7 reais a cada saque e nem vou comentar que se for pra usar debito e muito mais facil usar dinheiroboleto encerrei minha conta ja que um cliente nao faz falta a eles,Limite de crédito
pessimo,Comentário detrator sem informação
eu fiz cadrastro ontem deu certo so nao me mando o codigo,Problema com código no e-mail
minha opcao de cobrar nao esta mais aparecendo alguem ai com o mesmo problema,Sugestão de funcionalidade
mesmo depois da ultima atualizacao o app nao abre mais o meu aparelho e um lg k12,Aplicativo não funcional
estou des do mes de novembro esperando o meu cartao chegar a ultima vez q consultei tinha cido postado mais nao chegou,Cartão não chegou
uma hora entro e to desconectado da conta tento conectar e fica demorando apos desistir e da um tempo no aplicativo eu volto e minha conta ta logada tem algo acontecendo nos servidores da nubank,Aplicativo não funcional
bom,Elogio
gosto do nubank do app e acho q poderia ter a funcao de deposito por debito o boleto ajuda mais demora um pouco funcao por debito seria uma ferramenta que ajudaria a melhorar muito o app,Sugestão de funcionalidade
meu cartao ta demorando muito para chegar,Cartão não chegou
nao consigo acessar app apos a ultima atualizacaooque faco,Problema de acesso
na hora de criar a conta e tirar as fotos a camera nao foca no documento msm assim criei com a foto embacada mesmo ai hoje pediu pra refazer o procedimento e continua nao focanto a foto e nao e problema com minha camera,Foto do documento
o banco nao transfere para o banco do brasil,Sugestão de funcionalidade
nao estou conseguindo entra no app nao sei oqur ta acontecendogostaria de uma explicacao,Problema de acesso
bom,Elogio
depois da ultima atualizacao nao consigo acessar o aplicativosimplesmente nao abre ao consigo olhar meu limite,Aplicativo não funcional
nao estou conseguindo acessar o app no meu celularso fica carregando e nao abre isso aconteceu depois que atualizei,Problema de acesso
app esta abrindo sem solicitar senha nao esta oferecendo seguranca alguma qualquer pessoa que pegar o celular consegue ater acesso a minha conta,Sugestão de funcionalidade
app muito bom otimo,Elogio
bom,Elogio
otimo,Elogio
poxa o aplicativo e muito bom mas fica dando erro e toda vez que fico sem usar minha conta nao aparece pra mim que sou cliente a opcao entra aparece a opcao comecar como se eu nao tivesse conta pfv ajeite isso mas sobre outras coisas o aplicativo e muito bom,Outro
otimo,Elogio
ha mais de seis meses que eu fiz a conta mas ate hoje nao consegui solicitar o cartao espero tres meses para solicitar quando tento novamente ele diz que nao esta liberado nao tenho nenhuma pendencia ou divida em meu nome para acontecer isso e um tanto frustante vejo outras pessoas consegui e chegar o cartao e o meu nao por favor me deem uma posicao da parte de voces,Difícil conseguir crédito
podia ter a opcao de cancelar o boleto como no mercado pago deveria ter a opcao de visualizar minhas transacoes,Sugestão de funcionalidade
nao consigo abrir minha conta,Problema de acesso
como sei que aprovaro meu cartao,Dúvida
nao gostei da transferencia fiz uma tem 24 horas e ainda nao caiu na conta,Depósito demora
nao recebi o prometido cartao de credito mesmo estando tudo regular,Difícil conseguir crédito
vcs nao me quiseram entao tem quem queira bjs do banco inter,Comentário detrator sem informação
e bom,Elogio
gosto muito do app agora so falta liberar mais credito no cartao,Limite de crédito
pessimo,Comentário detrator sem informação
sugestoes de melhorias do app falta opcao adiantamento de pagamento conta a vista atualmente so tem a opcao de adiantar pagamentos de compras parceladas e na nuconta poderia ter uma ferramenta de gerenciamento igual o banco inter o cliente pode gerenciar os boletos que ja foram quitados ou ainda estao pendentes alem disso compartilhar novamente a qualquer tempo o codigo ou pdf,Sugestão de funcionalidade
ruim,Comentário detrator sem informação
falta ser mais intuitivo mais facil de encontrar o que se quer talvez um menu ajudasse,Sugestão de funcionalidade
nao consigo cancela aminha conta,Outro
ja faz quase 1 ano que venho solicitando o cartao de credito e sempre eh negado francamente muita burocracia p ter um cartao de credito desisto,Difícil conseguir crédito
muito ruim de liberar cartao de credito so propaganda,Comentário detrator sem informação
muito ruim nem libera o cartao,Difícil conseguir crédito
me ofereceram cartao de r 50 ja paguei duas faturas e nunca aumentaram o limite cancelei depois que fui aprovado no meuliz limite inicial de r850 alem de cash back nas minhas compras sem pagar mais por issotentei aumentar pelo app me foi negado fiz uma pesquisa na net todo mundo que ganha esse cartao nao aumenta o limite mesmo gastando rios de dinheiro nao recomendocancelei o cartao,Limite de crédito
nao funciona no meu aparelho asus zenfone 3s max tive que instalar no aparelho antigo que a bateria acaba logo poderia ter uma versao mais leve ou ter opcao de transacoes no navegador,Outro
o problema que eu perdi meu cartao eu ja tenho bem dia ja ate hoje nao chegou,Cartão não chegou
pede p atualizar toda hora tentei pagar uma conta mas esta dando erro pede para atualizar o historico de movimento da conta,Aplicativo não funcional
cartao de credito para foi so conversa de imail,Difícil conseguir crédito
minha camera e muito boa mas na hora de tirar a foto do documento do nubank ela desfoca e nao da pra ler nada ele nao foca tinha que ter a opcao de mandar a foto da galeria,Foto do documento
aplicativo e bom tem boas funcoes e opcoes porem tem uma falha que e o considero grave que deveria ser implementada nao tem a opcao de bloquear por perda e roubo e tambem de reemissao do cartao,Sugestão de funcionalidade
coloquem de volta a opcao cobrar por favor,Sugestão de funcionalidade
eu ja tenho a conta a meses mais passei um periodo sem usar o app e agr quando tentei eles dizem que vao mandar um codigo e avaliar meus dados e esse codigo nunca chega no meu gmail pra eu continuar o longi e o mesmo acontece se eu tentar entrar pela internet ja sou cliente da nubank a meses e agr vcs nao dizem nem o porque nao me aceitam mais descaso isso gostaria de uma solucao antes que eu passe pra outro banco,Problema com código no e-mail
gerei o boleto pela nubank paguei com o auxilio e ate agora nao caiu na minha conta,Depósito demora
otimo,Elogio
o cartao e bom e pratico porem estou a 9 meses com o cartao e meu limite e 5000 sendo que meu score e alto nunca tive o nome negativado sugiro que melhore isso,Limite de crédito
bom,Elogio
eu nao recomendo esse app simplesmente porque ele nao aumenta o limite ja gasto todo o valor do credito e mesmo assim nao aumenta o limite se eu tivesse usado cartao do banco inter ja estava com 8000 de limite esse cartao e um lixo,Limite de crédito
banco muito ruim de aprovar cartao de credito,Difícil conseguir crédito
nunca tive respostas se vou poder ou nao ter o cartao,Dúvida
pena que nunca aprovam o cartao de credito,Difícil conseguir crédito
baixei o app mas nao aparece a opcao logar so comecar ai vc comecar e vai pra criar uma nova conta,Sugestão de funcionalidade
dei apenas 3 estrelas porque depois que atualizei tiraram a opcao de cobrar do meu app gostaria que colocassem de volta,Sugestão de funcionalidade
nunca recebi meu cartao deu erro na entrega e nunca mais reenviaram meu cartao estou ate hoje sem poder usalo e ainda nao tem a opcao de resolver o meu problema no app,Cartão não chegou
os juros estao muito alto e alem disso ajente pede um aumento de limite e eles nao nos da isso e dessepicionante acho que vou parti pro digio e cancelar o nubank sou cliente ha muito tempo ja porque nao me dao um limite melhor pra compra algo mais caro eu tenho que usar o digio do meu esposo com limite de 3000 mil entao e mesmo que eu nao ter cartao,Limite de crédito
muy mala me aceptaron mi tarjeta y me la dieron ya que tengo buen historial todo bien hasta ahi pero el problema esta en que cuando la tienes la virtuales no puedes comprar nada todos los pagos que quieres hacer te los rechaza las compras que quieras hacer te las va a rechazar y si es asi ya me imagino con la fisica recomiendo que se cambien a vexi o de plano sigan usando la de su banco de preferencia con nu me la paso en el chat pidiendo alguna explicacion tras explicacion pesima,Outro
ruim,Comentário detrator sem informação
o aplicativo esta fazendo cartao de credito,Dúvida
otimo,Elogio
pessimo,Comentário detrator sem informação
nao me concederam cartao de credito sendo que meu nome esta limpo,Difícil conseguir crédito
e um pouco ruim porque toda hora tao em manutencao mais tirando isso o aplicativo e bom,Aplicativo não funcional
mesmo gastando rios de dinheiro com o pagamento antecipado colocando dinheiro no investimento nubank o limite de credito nao aumenta de maneira nenhuma isso por que ja possuo o cartao ha mais de 8 meses isso acaba desanimando totalmente de fazer o uso do cartao a paciencia ja esta acabando para esse problema pensando seriamente em mudar para outros bancos que estao parecendo oferecer mais limite de maneira solida do que o nubank pois nao mostra mais ter o mesmo engajamento com o clien,Limite de crédito
nuconta e otima porem se pedir um cartao de credito cuidado o meu nao foi aceito mesmo com o nome limpo e score alto e so pelo fato de ter pedido baixou bastante meu score pessimo,Difícil conseguir crédito
e bom,Elogio
ja tenho 1 ano que esse cartao nao aumenta o limite vou cancelar esse cartao e fazer o pag que eu ouvir dizer que aumenta o limite muito rapido preciso fazer uma compra e o cartao nao libera o limite nao recomendo o cartao,Limite de crédito
pessimo,Comentário detrator sem informação
bom,Elogio
problemaguardei dinheiro no nubank depois de alguns dias tive que formatar meu celular e agora toda vez que tento entrar ele envia um codigo de seguranca para o email como se eu tivesse formatado novamente nao consigo pagar conta tranferir dinheiro e para fazer deposito na conta ta normal faltando pouco pra desistir do nubank,Problema de acesso
nao consigo acessar minha nuconta informa que estou sem internet eu acabei de testar no speed teste 5486 download e 2144 upload nao e suficiente,Problema de acesso
nenhum aplicativo se compara com a caixabaixei esse appabri a conta ate ai tudo bem porem se feito um deposito via boleto so cai na conta com 3 dias uteistipose caso precisar no dia seguinte nao tem possibilidades e um app com uma facilidade de ultilizar porem nao acho adequado para movimentacao,Depósito demora
ola eu gostaria de saber o porque eu fiz uma transferencia de um dinheiro e ate agora nao entrou ja ta fazendo mais de um mes e nada ja olhei para ter certeza se nao tinha colocado nenhum dado errado e esta tudo certo e meu dinheiro ainda nao caiu conta,Dúvida
otimo,Elogio
a minha conta pj nao esta sendo aceito no nubank,Outro
bom,Elogio
nao estou conseguindo mais entrar dps da ultima atualizacao,Problema de acesso
camera do app e horrivel nao conseguir tira foto do meu documento,Foto do documento
me mandarao um cartao de credito com limite de 50 reais que nao aumenta nunca isso e uma piada o que da para comprar com esse limite ja solicitei aumento varias vezes e nao tive resultado,Limite de crédito
quase tudo no app e bom mais uma falha grotesca que atrapalha muito o usuario a questao da autorizacao em outros smartphones aconteceu uma situacao que quando meu aparelho quebrou utilizei o do meu pai para acessar e pagar uma fatura agora troquei o aparelho e utilizei o nubank da minha mae nesse meu celular novo resumindo nao consegui trocar a autorizacao do aparelho e tenho que acessar minha conta atraves do celular do meu pai deveria poder trocar a autorizacao de smartphone,Sugestão de funcionalidade
a camera nao foca para tirar foto dos documentos horrivel,Foto do documento
achei um lixo nao gostei,Comentário detrator sem informação
nao consigo tirar a foto dos meus documentos ficam embacada a camera do app esta horrivel aguardo contato,Foto do documento
nao estou conseguindo carregar meu celular a opcao fica com a tela branca e nunca carrega,Problema de acesso
como sei o limite do meu cartao virtal,Dúvida
boa tarde nao consegui fazer app fechar por favor faco como,Dúvida
boa tarde nao consegui fazer app fechar como fazer por favor,Dúvida
nao estou conseguindo entra na minha conta la so pede para adiciona o cpf nome completo o email faco tudo isso mais nunca chega o codigo no meu email podem me ajudar,Problema com código no e-mail
no meu app ainda nao apareceu a opcao de dividir valor mesmo atualizando,Sugestão de funcionalidade
pessimo app,Comentário detrator sem informação
ta horrivel nao consigo acessar minha conta so chegando codigo e mais codigo e nao entra,Problema de acesso
nao vou dar estrelas eles atrapalham o score e nao aprovam com nome limpo,Comentário detrator sem informação
otimo aplicativo e com otimo atendimento,Elogio
a camera do aplicativo nao foca nao consigo mandar foto do meu documento para abrir a conta,Foto do documento
cartao de credito e muito dificil de trabalhar pedir cartao de credito e eles fala que esta em analise so que meu nome esta limpo eles nao explicam por que me negaram o cartao,Difícil conseguir crédito
aumento as estrelas quando o banco acreditar em mim,Comentário detrator sem informação
o banco e excelente estou muito satisfeito mas o app e muito ruim para ler codigos de barra com muita frequencia preciso digitar aquele codigo enorme,Sugestão de funcionalidade
gostei mais do limite nao so me deram 5000 e quando peco aumento e recusado falta opcao para extrato,Sugestão de funcionalidade
nao consigo prosseguir no cadastro quando pede para tirar foto dos documentos o app nao foca para tirar a foto uma pena gostaria de fazer parte do banco,Foto do documento
e esse limite que nunca aumenta,Limite de crédito
estou com dificuldades para abrir uma conta o codigo que era pra chegar no meu email nunca chega ja tentei varias vezes podem me ajudar,Problema com código no e-mail
poxa queria o cartao de credito,Difícil conseguir crédito
ola boa tarde a todos tanto a conta como o app sao top mais a funcao cartao virtual no app nao esta funcionando,Aplicativo não funcional
ja tenho a um bom tempo e bom pra varios tipo de uso mas ta me deixando a deseja porque nao libera credito para min trabalho com carteira assinada ganho bem nunca tive nome sujo mesmo assim ta do mesmo jeito que instalei meu irmao tem credito liberado e eu nao kkk,Difícil conseguir crédito
me cadastrei para obter cartao de credito e fugir das tarifas do grande banco que me foi negado apesar de eu ter pontuacao alta no mercado no meu caso experiencia decepcionante,Difícil conseguir crédito
depois da atualizacao esta apresentando muito erro abra o aplicativo ja fecha,Aplicativo não funcional
pois ate o momento nao atendeu meus pedido de linha de credito fim de papo,Difícil conseguir crédito
nao aparece a pagina de login no aplicativo da nubank aparece somente para criar uma nova conta em comecar ja desinstalei e baixei de novo se mudar paga o idioma do mexico aparece para fazer login porem nao funciona porque o cpf e diferente o que faco,Sugestão de funcionalidade
nao localizo meu perfil muito ruim melhor mesmo e o c6 bank que experiencia horrivel,Comentário detrator sem informação
muito ruim pq ja fazem meses e nao aumentam meu limite,Limite de crédito
nao consigo acessar minha conta nem resetar a senha,Problema de acesso
eu quero um cartao de credito,Difícil conseguir crédito
por favor coloquem a opcao de fazer pagamentos de boletos bancarios e contas de agua e luz leitor de codigo de barras no app toda vez que tenho que fazer pagamento tenho que usar um outro app de pagamento recargapay nubank haja visto que esses apps de pagamentos tem uma quantia limitada pra pagar por mes entao ficamos de maos atadas porque se pagarmos alem do limite esse app cobra taxa portanto facam isso ponham a opcao pagamentos de boletos bancarios mais leitor de codigo de barras,Sugestão de funcionalidade
app e chat e top so falta me libera creditoja to quase aposentando no debito,Difícil conseguir crédito
o cartao e otimo mais estou tentando atualizar o app e nao consigo tirando isso tudo otimo,Elogio
vou dar 3 estrelas pq devia ser mais rapido pra conseguir o cartao de credito eu so tenho o de debito assim que eu conseguir meu cartao de credito eu dou mais estrelas,Difícil conseguir crédito
estava gostando mas foi creditado uma compra no meu cartao virtual no valor de r16800 compra essa que nao fizfiz a contestacao da compra mas hoje eles voltaram com o valor para minha conta nao recomendo mas o nu bank perdeu minha confianca um banco que nao traz seguranca para seus clientes vou fechar minha conta antes que eles me tragam mais prejuizo,Comentário detrator sem informação
poxa nubank da um limite maior pra nos desse jeito nao da decepcionante viu so falta isso pra ser perfeito,Limite de crédito
pessimo app,Comentário detrator sem informação
eu queria saber o porque eu nao consegui ter um cartao de credito nubank pois tem pessoas q conheco conseguiu um cartao de credito e eu nao consegui o meu score sempre foi baixo sempre pesso o cartao eles nega entao eu nao preciso de cartao de debito porque pra paga a vista pago com dinheiro mesmo estou triste com este banco,Dúvida
poderia ter a opcao de ocultar atalhos na pagina inicial o de indicar por exemplo cobrar me ajuda e doacao nao deveriam estar ali mesmo jogando eles pro fundo incomoda a opcao de bloqueiodesbloqueio deveria ser independente na funcao credito e debito,Sugestão de funcionalidade
estou tendo uma experiencia muito bacana com o nubank mas desde ontem o aplicativo nao funciona direito fica saindo toda hora sozinho e aparece na tela o nubank parou,Aplicativo não funcional
